geoCode,MongoDB,MySQL,date
AF,0,0,2023-10-18
AL,0,0,2023-10-18
DZ,0,0,2023-10-18
AS,0,0,2023-10-18
AD,0,0,2023-10-18
AO,0,0,2023-10-18
AI,0,0,2023-10-18
AQ,0,0,2023-10-18
AG,0,0,2023-10-18
AR,20,80,2023-10-18
AM,33,67,2023-10-18
AW,0,0,2023-10-18
AU,30,70,2023-10-18
AT,24,76,2023-10-18
AZ,0,0,2023-10-18
BS,0,0,2023-10-18
BH,0,0,2023-10-18
BD,51,49,2023-10-18
BB,0,0,2023-10-18
BY,27,73,2023-10-18
BE,23,77,2023-10-18
BZ,0,0,2023-10-18
BJ,0,0,2023-10-18
BM,0,0,2023-10-18
BT,0,0,2023-10-18
BO,26,74,2023-10-18
BA,0,0,2023-10-18
BW,0,0,2023-10-18
BV,0,0,2023-10-18
BR,22,78,2023-10-18
IO,0,0,2023-10-18
VG,0,0,2023-10-18
BN,0,0,2023-10-18
BG,20,80,2023-10-18
BF,0,0,2023-10-18
BI,0,0,2023-10-18
KH,0,0,2023-10-18
CM,0,0,2023-10-18
CA,32,68,2023-10-18
CV,0,0,2023-10-18
BQ,0,0,2023-10-18
KY,0,0,2023-10-18
CF,0,0,2023-10-18
TD,0,0,2023-10-18
CL,23,77,2023-10-18
CN,12,88,2023-10-18
CX,0,0,2023-10-18
CC,0,0,2023-10-18
CO,21,79,2023-10-18
KM,0,0,2023-10-18
CG,0,0,2023-10-18
CD,0,0,2023-10-18
CK,0,0,2023-10-18
CR,26,74,2023-10-18
HR,27,73,2023-10-18
CU,0,0,2023-10-18
CW,0,0,2023-10-18
CY,0,0,2023-10-18
CZ,23,77,2023-10-18
CI,0,0,2023-10-18
DK,34,66,2023-10-18
DJ,0,0,2023-10-18
DM,0,0,2023-10-18
DO,0,0,2023-10-18
EC,16,84,2023-10-18
EG,28,72,2023-10-18
SV,0,0,2023-10-18
GQ,0,0,2023-10-18
ER,0,0,2023-10-18
EE,0,0,2023-10-18
SZ,0,0,2023-10-18
ET,32,68,2023-10-18
FK,0,0,2023-10-18
FO,0,0,2023-10-18
FJ,0,0,2023-10-18
FI,31,69,2023-10-18
FR,28,72,2023-10-18
GF,0,0,2023-10-18
PF,0,0,2023-10-18
TF,0,0,2023-10-18
GA,0,0,2023-10-18
GM,0,0,2023-10-18
GE,0,0,2023-10-18
DE,28,72,2023-10-18
GH,36,64,2023-10-18
GI,0,0,2023-10-18
GR,24,76,2023-10-18
GL,0,0,2023-10-18
GD,0,0,2023-10-18
GP,0,0,2023-10-18
GU,0,0,2023-10-18
GT,0,0,2023-10-18
GG,0,0,2023-10-18
GN,0,0,2023-10-18
GW,0,0,2023-10-18
GY,0,0,2023-10-18
HT,0,0,2023-10-18
HM,0,0,2023-10-18
HN,0,0,2023-10-18
HK,22,78,2023-10-18
HU,24,76,2023-10-18
IS,0,0,2023-10-18
IN,29,71,2023-10-18
ID,13,87,2023-10-18
IR,28,72,2023-10-18
IQ,0,0,2023-10-18
IE,35,65,2023-10-18
IM,0,0,2023-10-18
IL,55,45,2023-10-18
IT,24,76,2023-10-18
JM,0,0,2023-10-18
JP,7,93,2023-10-18
JE,0,0,2023-10-18
JO,35,65,2023-10-18
KZ,24,76,2023-10-18
KE,20,80,2023-10-18
KI,0,0,2023-10-18
XK,0,0,2023-10-18
KW,0,0,2023-10-18
KG,0,0,2023-10-18
LA,0,0,2023-10-18
LV,0,0,2023-10-18
LB,0,0,2023-10-18
LS,0,0,2023-10-18
LR,0,0,2023-10-18
LY,0,0,2023-10-18
LI,0,0,2023-10-18
LT,23,77,2023-10-18
LU,0,0,2023-10-18
MO,0,0,2023-10-18
MG,0,0,2023-10-18
MW,0,0,2023-10-18
MY,17,83,2023-10-18
MV,0,0,2023-10-18
ML,0,0,2023-10-18
MT,0,0,2023-10-18
MH,0,0,2023-10-18
MQ,0,0,2023-10-18
MR,100,0,2023-10-18
MU,0,0,2023-10-18
YT,0,0,2023-10-18
MX,11,89,2023-10-18
FM,0,0,2023-10-18
MD,0,0,2023-10-18
MC,0,0,2023-10-18
MN,0,0,2023-10-18
ME,0,0,2023-10-18
MS,0,0,2023-10-18
MA,22,78,2023-10-18
MZ,0,0,2023-10-18
MM,0,0,2023-10-18
NA,0,0,2023-10-18
NR,0,0,2023-10-18
NP,36,64,2023-10-18
NL,22,78,2023-10-18
NC,0,0,2023-10-18
NZ,0,0,2023-10-18
NI,0,0,2023-10-18
NE,0,0,2023-10-18
NG,32,68,2023-10-18
NU,0,0,2023-10-18
NF,0,0,2023-10-18
KP,0,0,2023-10-18
MK,0,0,2023-10-18
MP,0,0,2023-10-18
NO,42,58,2023-10-18
OM,0,0,2023-10-18
PK,33,67,2023-10-18
PW,0,0,2023-10-18
PS,0,0,2023-10-18
PA,0,0,2023-10-18
PG,0,0,2023-10-18
PY,0,0,2023-10-18
PE,18,82,2023-10-18
PH,17,83,2023-10-18
PN,0,0,2023-10-18
PL,27,73,2023-10-18
PT,26,74,2023-10-18
PR,0,0,2023-10-18
QA,0,0,2023-10-18
RO,27,73,2023-10-18
RU,23,77,2023-10-18
RW,0,0,2023-10-18
RE,0,0,2023-10-18
WS,0,0,2023-10-18
SM,0,0,2023-10-18
SA,20,80,2023-10-18
SN,0,0,2023-10-18
RS,28,72,2023-10-18
SC,0,0,2023-10-18
SL,0,0,2023-10-18
SG,32,68,2023-10-18
SX,0,0,2023-10-18
SK,0,0,2023-10-18
SI,0,0,2023-10-18
SB,0,0,2023-10-18
SO,0,0,2023-10-18
ZA,16,84,2023-10-18
GS,0,0,2023-10-18
KR,16,84,2023-10-18
SS,0,0,2023-10-18
ES,23,77,2023-10-18
LK,21,79,2023-10-18
BL,0,0,2023-10-18
SH,34,66,2023-10-18
KN,0,0,2023-10-18
LC,0,0,2023-10-18
MF,0,0,2023-10-18
PM,0,0,2023-10-18
VC,0,0,2023-10-18
SD,100,0,2023-10-18
SR,0,0,2023-10-18
SJ,0,0,2023-10-18
SE,34,66,2023-10-18
CH,28,72,2023-10-18
SY,0,0,2023-10-18
ST,0,0,2023-10-18
TW,20,80,2023-10-18
TJ,0,0,2023-10-18
TZ,0,0,2023-10-18
