geoCode,MariaDB,date
AF,0,2023-10-30
AL,0,2023-10-30
DZ,0,2023-10-30
AS,0,2023-10-30
AD,0,2023-10-30
AO,0,2023-10-30
AI,0,2023-10-30
AQ,0,2023-10-30
AG,0,2023-10-30
AR,4,2023-10-30
AM,0,2023-10-30
AW,0,2023-10-30
AU,4,2023-10-30
AT,13,2023-10-30
AZ,0,2023-10-30
BS,0,2023-10-30
BH,0,2023-10-30
BD,0,2023-10-30
BB,0,2023-10-30
BY,0,2023-10-30
BE,11,2023-10-30
BZ,0,2023-10-30
BJ,0,2023-10-30
BM,0,2023-10-30
BT,0,2023-10-30
BO,0,2023-10-30
BA,0,2023-10-30
BW,0,2023-10-30
BV,0,2023-10-30
BR,4,2023-10-30
IO,0,2023-10-30
VG,0,2023-10-30
BN,0,2023-10-30
BG,0,2023-10-30
BF,0,2023-10-30
BI,0,2023-10-30
KH,0,2023-10-30
CM,0,2023-10-30
CA,7,2023-10-30
CV,0,2023-10-30
BQ,0,2023-10-30
KY,0,2023-10-30
CF,0,2023-10-30
TD,0,2023-10-30
CL,0,2023-10-30
CN,0,2023-10-30
CX,0,2023-10-30
CC,0,2023-10-30
CO,7,2023-10-30
KM,0,2023-10-30
CG,0,2023-10-30
CD,0,2023-10-30
CK,0,2023-10-30
CR,0,2023-10-30
HR,0,2023-10-30
CU,0,2023-10-30
CW,0,2023-10-30
CY,0,2023-10-30
CZ,19,2023-10-30
CI,0,2023-10-30
DK,0,2023-10-30
DJ,0,2023-10-30
DM,0,2023-10-30
DO,0,2023-10-30
EC,0,2023-10-30
EG,0,2023-10-30
SV,0,2023-10-30
GQ,0,2023-10-30
ER,0,2023-10-30
EE,0,2023-10-30
SZ,0,2023-10-30
ET,0,2023-10-30
FK,0,2023-10-30
FO,0,2023-10-30
FJ,0,2023-10-30
FI,25,2023-10-30
FR,12,2023-10-30
GF,0,2023-10-30
PF,0,2023-10-30
TF,0,2023-10-30
GA,0,2023-10-30
GM,0,2023-10-30
GE,0,2023-10-30
DE,16,2023-10-30
GH,0,2023-10-30
GI,0,2023-10-30
GR,10,2023-10-30
GL,0,2023-10-30
GD,0,2023-10-30
GP,0,2023-10-30
GU,0,2023-10-30
GT,0,2023-10-30
GG,0,2023-10-30
GN,0,2023-10-30
GW,0,2023-10-30
GY,0,2023-10-30
HT,0,2023-10-30
HM,0,2023-10-30
HN,0,2023-10-30
HK,23,2023-10-30
HU,0,2023-10-30
IS,0,2023-10-30
IN,3,2023-10-30
ID,7,2023-10-30
IR,2,2023-10-30
IQ,0,2023-10-30
IE,0,2023-10-30
IM,0,2023-10-30
IL,0,2023-10-30
IT,5,2023-10-30
JM,0,2023-10-30
JP,5,2023-10-30
JE,0,2023-10-30
JO,0,2023-10-30
KZ,0,2023-10-30
KE,0,2023-10-30
KI,0,2023-10-30
XK,0,2023-10-30
KW,0,2023-10-30
KG,0,2023-10-30
LA,0,2023-10-30
LV,0,2023-10-30
LB,0,2023-10-30
LS,0,2023-10-30
LR,0,2023-10-30
LY,0,2023-10-30
LI,0,2023-10-30
LT,0,2023-10-30
LU,0,2023-10-30
MO,0,2023-10-30
MG,0,2023-10-30
MW,0,2023-10-30
MY,12,2023-10-30
MV,0,2023-10-30
ML,0,2023-10-30
MT,0,2023-10-30
MH,0,2023-10-30
MQ,0,2023-10-30
MR,0,2023-10-30
MU,0,2023-10-30
YT,0,2023-10-30
MX,4,2023-10-30
FM,0,2023-10-30
MD,0,2023-10-30
MC,0,2023-10-30
MN,0,2023-10-30
ME,0,2023-10-30
MS,0,2023-10-30
MA,0,2023-10-30
MZ,0,2023-10-30
MM,0,2023-10-30
NA,0,2023-10-30
NR,0,2023-10-30
NP,0,2023-10-30
NL,13,2023-10-30
NC,0,2023-10-30
NZ,0,2023-10-30
NI,0,2023-10-30
NE,0,2023-10-30
NG,0,2023-10-30
NU,0,2023-10-30
NF,0,2023-10-30
KP,0,2023-10-30
MK,0,2023-10-30
MP,0,2023-10-30
NO,16,2023-10-30
OM,0,2023-10-30
PK,0,2023-10-30
PW,0,2023-10-30
PS,0,2023-10-30
PA,0,2023-10-30
PG,0,2023-10-30
PY,0,2023-10-30
PE,5,2023-10-30
PH,0,2023-10-30
PN,0,2023-10-30
PL,8,2023-10-30
PT,12,2023-10-30
PR,0,2023-10-30
QA,0,2023-10-30
RO,15,2023-10-30
RU,10,2023-10-30
RW,0,2023-10-30
RE,0,2023-10-30
WS,0,2023-10-30
SM,0,2023-10-30
SA,0,2023-10-30
SN,0,2023-10-30
RS,0,2023-10-30
SC,0,2023-10-30
SL,0,2023-10-30
SG,0,2023-10-30
SX,0,2023-10-30
SK,22,2023-10-30
SI,0,2023-10-30
SB,0,2023-10-30
SO,0,2023-10-30
ZA,8,2023-10-30
GS,0,2023-10-30
KR,100,2023-10-30
SS,0,2023-10-30
ES,10,2023-10-30
LK,0,2023-10-30
BL,0,2023-10-30
SH,0,2023-10-30
KN,0,2023-10-30
LC,0,2023-10-30
MF,0,2023-10-30
PM,0,2023-10-30
VC,0,2023-10-30
SD,0,2023-10-30
SR,0,2023-10-30
SJ,0,2023-10-30
SE,11,2023-10-30
CH,18,2023-10-30
SY,0,2023-10-30
ST,0,2023-10-30
TW,13,2023-10-30
TJ,0,2023-10-30
TZ,0,2023-10-30
TH,8,2023-10-30
TL,0,2023-10-30
TG,0,2023-10-30
TK,0,2023-10-30
TO,0,2023-10-30
TT,0,2023-10-30
TN,0,2023-10-30
TM,0,2023-10-30
TC,0,2023-10-30
TV,0,2023-10-30
TR,1,2023-10-30
UM,0,2023-10-30
VI,0,2023-10-30
UG,0,2023-10-30
UA,10,2023-10-30
AE,0,2023-10-30
GB,4,2023-10-30
US,4,2023-10-30
UY,0,2023-10-30
UZ,0,2023-10-30
VU,0,2023-10-30
VA,0,2023-10-30
VE,0,2023-10-30
VN,10,2023-10-30
WF,0,2023-10-30
EH,0,2023-10-30
